print_page,year,word_count,gender,,,,,,,,,,,,,,,,,
7,1996,1337,male,,,,,,,,,,,,,,,,,
34,1996,363,male,,,,,,,,,,,,,,,,,
13,1996,415,female,,,,,,,,,,,,,,,,,
13,1996,229,male,,,,,,,,,,,,,,,,,
46,1996,415,male,,,,,,,,,,,,,,,,,
16,1996,212,male,,,,,,,,,,,,,,,,,
5,1996,363,male,,,,,,,,,,,,,,,,,
9,1996,228,male,,,,,,,,,,,,,,,,,
38,1996,425,male,,,,,,,,,,,,,,,,,
13,1996,324,male,,,,,,,,,,,,,,,,,
34,1996,659,female,,,,,,,,,,,,,,,,,
35,1996,201,male,,,,,,,,,,,,,,,,,
12,1996,177,male,,,,,,,,,,,,,,,,,
52,1996,495,male,,,,,,,,,,,,,,,,,
23,1996,1322,male,,,,,,,,,,,,,,,,,
41,1996,526,male,,,,,,,,,,,,,,,,,
41,1996,520,male,,,,,,,,,,,,,,,,,
24,1996,219,male,,,,,,,,,,,,,,,,,
31,1996,214,male,,,,,,,,,,,,,,,,,
26,1996,1724,male,,,,,,,,,,,,,,,,,
27,1996,681,female,,,,,,,,,,,,,,,,,
37,1996,358,male,,,,,,,,,,,,,,,,,
42,1996,321,male,,,,,,,,,,,,,,,,,
11,1996,132,male,,,,,,,,,,,,,,,,,
12,1996,587,male,,,,,,,,,,,,,,,,,
21,1996,199,male,,,,,,,,,,,,,,,,,
39,1996,89,male,,,,,,,,,,,,,,,,,
51,1996,714,male,,,,,,,,,,,,,,,,,
31,1996,354,male,,,,,,,,,,,,,,,,,
48,1996,198,male,,,,,,,,,,,,,,,,,
7,1996,418,female,,,,,,,,,,,,,,,,,
26,1996,637,female,,,,,,,,,,,,,,,,,
20,1996,269,male,,,,,,,,,,,,,,,,,
36,1996,276,female,,,,,,,,,,,,,,,,,
41,1996,324,male,,,,,,,,,,,,,,,,,
29,1996,218,male,,,,,,,,,,,,,,,,,
29,1996,179,male,,,,,,,,,,,,,,,,,
8,1996,722,male,,,,,,,,,,,,,,,,,
8,1996,389,male,,,,,,,,,,,,,,,,,
20,1996,1717,male,,,,,,,,,,,,,,,,,
20,1996,125,female,,,,,,,,,,,,,,,,,
17,1996,172,male,,,,,,,,,,,,,,,,,
16,1996,999,male,,,,,,,,,,,,,,,,,
51,1996,185,female,,,,,,,,,,,,,,,,,
44,1996,213,male,,,,,,,,,,,,,,,,,
44,1996,161,female,,,,,,,,,,,,,,,,,
7,1996,232,female,,,,,,,,,,,,,,,,,
9,1996,457,female,,,,,,,,,,,,,,,,,
9,1996,154,male,,,,,,,,,,,,,,,,,
21,1996,133,male,,,,,,,,,,,,,,,,,
12,1996,873,female,,,,,,,,,,,,,,,,,
7,1996,303,female,,,,,,,,,,,,,,,,,
9,1996,596,male,,,,,,,,,,,,,,,,,
7,1996,724,male,,,,,,,,,,,,,,,,,
14,1996,699,male,,,,,,,,,,,,,,,,,
39,1996,145,male,,,,,,,,,,,,,,,,,
30,1996,340,male,,,,,,,,,,,,,,,,,
20,1996,220,male,,,,,,,,,,,,,,,,,
24,1996,523,male,,,,,,,,,,,,,,,,,
23,1996,793,male,,,,,,,,,,,,,,,,,
12,1996,310,male,,,,,,,,,,,,,,,,,
12,1996,262,male,,,,,,,,,,,,,,,,,
21,1996,212,male,,,,,,,,,,,,,,,,,
16,1996,569,male,,,,,,,,,,,,,,,,,
24,1996,314,male,,,,,,,,,,,,,,,,,
12,1996,268,male,,,,,,,,,,,,,,,,,
34,1996,260,male,,,,,,,,,,,,,,,,,
